CAL_DT,MODEL_NAME,BRAND_FULL_NAME,BRAND_NAME,VENDOR_NAME,OS_NAME,DEVICE_TYPE,_2G_FLG,_3G_FLG,_4G_FLG,WIFI_FLG,BLUETOOTH_FLG,TOUCH_SCREEN_FLG,DUAL_SIM_FLG,GENDER_TYPE_CD,AGE_B,NATIONALITY_CD,NATIONALITY_NAME,SAUDI_NON_SAUDI,DEVICE_COUNT,DEVICE_COUNT_processed,Z_FLAG_COUNT
3/31/2019,2710 navigation edition,nokia 2710 navigation edition,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,26-35,SRB,Syria,Non-Saudi,1,1.0,1
12/31/2019,3500 classic,nokia 3500 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,>55,EGY,Egypt,Non-Saudi,3,3.0,1
9/30/2020,2323 classic,nokia 2323 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,36-55,ETH,Ethiopia,Non-Saudi,2,2.0,1
12/31/2019,7020,nokia 7020,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,>55,IND,India,Non-Saudi,2,2.0,1
12/31/2018,2323 classic,nokia 2323 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,,ESP,Spain,Non-Saudi,1,1.0,1
5/31/2020,6085h,nokia 6085h,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,,SYR,Syria,Non-Saudi,1,1.0,1
6/30/2019,2660,nokia 2660,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,26-35,SAU,Saudi Arabia,Saudi,1,1.0,1
9/30/2019,7020,nokia 7020,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,,SDN,Sudan,Non-Saudi,1,1.0,1
4/30/2019,3109 classic,nokia 3109 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,>55,IND,India,Non-Saudi,9,9.0,1
6/30/2019,7020,nokia 7020,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,18-25,SAU,Saudi Arabia,Saudi,5,5.0,1
